,FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,Paragraph1,Paragraph2,Paragraph3,Paragraph4,Paragraph5,Paragraph6,Text_Area,SubFigure1,SubFigure2,SubFigure3,Figure,Formula
162,163.0,1387.5214,466.9801,198174.7892,198499.7738,324.9846,0.2516,0,0,0,0,0,0,0,0,1,0,1,0
163,164.0,1449.1788,485.941,198608.0635,198774.733,166.6695,0.1432,0,0,0,0,0,0,0,0,1,0,1,0
164,165.0,1437.7858,450.0714,200249.5728,200332.85100000002,83.2782,0.153,0,0,0,0,0,0,0,0,1,0,1,0
165,166.0,1464.6673,435.6686,200416.1653,200491.1788,75.0136,0.0918,0,0,0,0,0,0,0,0,1,0,1,0
166,167.0,1451.3315,451.3346,200682.793,200766.1178,83.3247,0.2004,0,0,0,0,0,0,0,0,1,0,1,0
167,168.0,1474.5938,500.9687,200782.7937,200974.44600000003,191.6523,0.2236,0,0,0,0,0,0,0,0,1,0,1,0
168,169.0,1421.9351,464.5719,201132.7453,201407.7124,274.9672,0.2232,0,0,0,0,0,0,0,0,1,0,1,0
169,170.0,1411.5725,429.5515,201499.37600000002,201882.6592,383.2833,0.1602,0,0,0,0,0,0,0,0,1,0,1,0
170,171.0,1473.0139,446.3286,201907.6567,202074.3072,166.6505,0.2972,0,0,0,0,0,0,0,0,1,0,1,0
171,172.0,1276.4661,429.3006,202191.0389,202324.2805,133.2416,0.1684,0,0,0,0,0,0,0,1,0,0,1,0
172,173.0,1255.2901,507.2173,202349.2757,202549.2583,199.9826,0.2933,0,0,0,0,0,0,0,1,0,0,1,0
173,174.0,1452.6422,504.5687,203882.4406,204149.0764,266.6358,0.2402,0,0,0,0,0,0,0,0,1,0,1,0
174,175.0,1448.4985,465.6469,204207.4522,204374.0526,166.6004,0.1925,0,0,0,0,0,0,0,0,1,0,1,0
175,176.0,1428.5468,411.1682,204407.3805,204824.0459,416.6655,0.1664,0,0,0,0,0,0,0,0,1,0,1,0
176,177.0,1461.6111,385.1111,204898.9936,204973.9851,74.9915,0.2002,0,0,0,0,0,0,0,0,1,0,1,0
177,178.0,1560.6106,385.6115,205040.6938,205165.6563,124.9625,0.1289,0,0,0,0,0,0,0,0,1,0,1,0
178,179.0,1543.491,395.3241,205324.00199999998,205390.7139,66.7118,0.14300000000000002,0,0,0,0,0,0,0,0,0,0,1,0
179,180.0,1491.5077,364.4938,205407.2698,205473.9834,66.7136,0.2871,0,0,0,0,0,0,0,0,0,0,0,0
180,181.0,1543.3158,383.4474,205757.2818,205915.5755,158.2936,0.2887,0,0,0,0,0,0,0,0,0,0,1,0
181,182.0,1471.6629999999998,443.6497,205973.8751,206140.5443,166.6692,0.2896,0,0,0,0,0,0,0,0,1,0,1,0
182,183.0,1443.8696,438.6233,206365.5269,206482.1989,116.67200000000001,0.2178,0,0,0,0,0,0,0,0,1,0,1,0
183,184.0,1471.3169,473.4268,206523.8929,206723.8213,199.9284,0.2466,0,0,0,0,0,0,0,0,1,0,1,0
184,185.0,1447.8571,440.0736,207848.6687,207923.6619,74.9932,0.2801,0,0,0,0,0,0,0,0,1,0,1,0
185,186.0,1445.4122,436.9449,207998.6826,208565.2621,566.5795,0.3202,0,0,0,0,0,0,0,0,1,0,1,0
186,187.0,1508.892,464.9183,208831.8931,209031.9031,200.0101,0.3054,0,0,0,0,0,0,0,0,1,0,1,0
187,188.0,1468.2278,462.4595,209273.5296,209398.5117,124.9821,0.3492,0,0,0,0,0,0,0,0,1,0,1,0
188,189.0,1469.8289,512.7584,209448.4986,209848.4992,400.0006,0.262,0,0,0,0,0,0,0,0,1,0,1,0
189,190.0,1483.8559,610.7135,211856.5612,212031.5446,174.9835,0.1609,0,0,0,0,0,0,0,0,1,0,1,0
190,191.0,1529.7489,632.734,212948.1116,213231.4298,283.3182,0.4938,0,0,0,0,0,0,0,0,1,0,1,0
191,192.0,1514.3044,698.8982,214956.2485,215022.8908,66.6423,0.2003,0,0,0,0,0,0,0,0,1,0,1,0
192,193.0,1563.8972,685.6144,215281.1885,215497.8387,216.6503,0.2291,0,0,0,0,0,0,0,0,1,0,1,0
193,194.0,1507.4166,704.3334,216797.6789,216872.6701,74.9912,0.1426,0,0,0,0,0,0,0,0,1,0,1,0
194,195.0,1503.7147,663.2609,219430.7801,219630.7708,199.9907,0.3388,0,0,0,0,0,0,0,0,1,0,1,0
195,196.0,825.2012,466.2942,220113.9983,220205.6868,91.6885,0.083,0,0,0,1,0,0,1,0,0,0,0,0
196,197.0,660.7505,425.7469,220338.9537,220405.6262,66.6725,0.0866,0,0,0,1,0,0,1,0,0,0,0,0
197,198.0,738.0604,410.6221,224471.8617,224563.4853,91.6236,0.2024,0,0,0,1,0,0,1,0,0,0,0,0
198,199.0,215.2498,444.5,227288.1823,227371.5069,83.3246,0.1819,0,0,1,0,0,0,1,0,0,0,0,0
199,200.0,214.0002,250.9992,234445.7579,234520.7226,74.9647,0.1301,1,0,0,0,0,0,1,0,0,0,0,0
200,201.0,214.1999,615.4487,256443.3204,256543.2998,99.9794,0.2367,0,0,0,0,1,0,1,0,0,0,0,0
201,202.0,1661.264,399.9994,269325.2405,269475.1842,149.9437,0.3385,0,0,0,0,0,0,0,0,0,1,1,0
202,203.0,1716.5,392.75,269591.85,269658.5423,66.6923,0.1573,0,0,0,0,0,0,0,0,0,1,1,0
203,204.0,1676.8335,454.3992,269891.8239,270041.7904,149.9665,0.1888,0,0,0,0,0,0,0,0,0,1,1,0
204,205.0,153.0584,616.8309,271874.9314,272183.2293,308.2979,0.2887,0,0,0,0,1,0,1,0,0,0,0,0
205,206.0,408.1057,591.3922,272283.2658,272408.2119,124.946,0.2945,0,0,0,0,1,0,1,0,0,0,0,0
206,207.0,431.9983,568.3332,272483.2037,272591.5248,108.3211,0.2941,0,0,0,0,0,0,1,0,0,0,0,0
207,208.0,173.5377,611.8552,272683.1941,272874.8488,191.6547,0.2071,0,0,0,0,1,0,1,0,0,0,0,0
208,209.0,393.9781,588.3703,273158.1606,273349.7963,191.6357,0.2054,0,0,0,0,1,0,1,0,0,0,0,0
209,210.0,1419.4935,429.7036,274316.3198,274391.3077,74.9879,0.0948,0,0,0,0,0,0,0,0,1,0,1,0
210,211.0,1469.6868,534.0012,284165.3085,284265.2264,99.9178,0.1153,0,0,0,0,0,0,0,0,1,0,1,0
211,212.0,1520.3497,647.5289,289622.9744,289931.2755,308.3011,0.3767,0,0,0,0,0,0,0,0,1,0,1,0
