Respondent,VisitedAOI,Dwell Start,Dwell End,Number of Fixations in Dwell,Number of Saccades in Dwell,Dwell Time
Anonymous 14-11-22 09h35m,Figure,161890.2081,161915.1913,0.0,1.0,24.98320000001695
Anonymous 14-11-22 09h35m,Figure,162165.1844,162631.7899,2.0,5.0,466.6055000000051
Anonymous 14-11-22 09h35m,SubFigure1,162348.4586,162631.7899,1.0,3.0,283.33129999999073
Anonymous 14-11-22 09h35m,Figure,163098.4238,163265.0426,1.0,0.0,166.61879999999655
Anonymous 14-11-22 09h35m,Formula,163265.0426,163939.9471,3.0,6.0,674.9045000000042
Anonymous 14-11-22 09h35m,Paragraph2,164164.9205,164273.2971,0.0,2.0,108.37659999998868
Anonymous 14-11-22 09h35m,Text_Area,164164.9205,166889.6304,6.0,30.0,2724.709899999987
Anonymous 14-11-22 09h35m,Paragraph2,164523.2172,164539.8813,0.0,1.0,16.664099999994505
Anonymous 14-11-22 09h35m,Paragraph2,164781.578,166473.0341,4.0,19.0,1691.4560999999812
Anonymous 14-11-22 09h35m,Paragraph4,166514.712,166539.6601,0.0,2.0,24.948100000008708
Anonymous 14-11-22 09h35m,Paragraph4,166806.3037,166814.6665,0.0,1.0,8.362800000002608
Anonymous 14-11-22 09h35m,Formula,167181.2794,167547.8993,2.0,1.0,366.6198999999906
Anonymous 14-11-22 09h35m,Formula,167622.8754,168797.7816,3.0,10.0,1174.9061999999976
Anonymous 14-11-22 09h35m,Formula,169339.3831,170989.1726,5.0,5.0,1649.7894999999844
Anonymous 14-11-22 09h35m,Formula,171030.8317,171877.6776,2.0,5.0,846.8458999999857
Anonymous 14-11-22 09h35m,Figure,172027.6964,172177.6491,0.0,4.0,149.95270000002347
Anonymous 14-11-22 09h35m,SubFigure1,172077.6702,172094.2892,0.0,1.0,16.619000000006054
Anonymous 14-11-22 09h35m,Formula,172277.627,180635.0294,23.0,26.0,8357.402399999992
Anonymous 14-11-22 09h35m,Figure,180635.0294,183926.3172,13.0,27.0,3291.287799999991
Anonymous 14-11-22 09h35m,SubFigure1,180660.071,183926.3172,13.0,26.0,3266.246199999994
Anonymous 14-11-22 09h35m,Formula,183976.345,186734.4401,8.0,14.0,2758.095100000006
Anonymous 14-11-22 09h35m,SubFigure1,186817.8,188267.4986,6.0,6.0,1449.6986000000034
